Naam;Aantal
Olivia;17535
Emma;15581
Ava;13084
Charlotte;13003
Sophia;12976
Amelia;12704
Isabella;12066
Mia;11157
Evelyn;9445
Harper;8778
Camila;8096
Gianna;7826
Abigail;7817
Luna;7770
Ella;7303
Elizabeth;7216
Sofia;6926
Emily;6856
Avery;6698
Mila;6602
Scarlett;6455
Eleanor;6335
Madison;6196
Layla;6174
Penelope;6099
Aria;6093
Chloe;6093
Grace;5569
Ellie;5562
Nora;5550
Hazel;5457
Zoey;5331
Riley;5309
Victoria;5249
Lily;5195
Aurora;5184
Violet;5075
Nova;4940
Hannah;4910
Emilia;4750
Zoe;4725
Stella;4624
Everly;4590
Isla;4538
Leah;4482
Lillian;4468
Addison;4467
Willow;4345
Lucy;4339
Paisley;4333
Natalie;4258
Naomi;4066
Eliana;4038
Brooklyn;3989
Elena;3904
Aubrey;3886
Claire;3822
Ivy;3794
Kinsley;3744
Audrey;3735
Maya;3696
Genesis;3654
Skylar;3608
Bella;3590
Aaliyah;3550
Madelyn;3520
Savannah;3515
Anna;3479
Delilah;3384
Serenity;3366
Caroline;3345
Kennedy;3342
Valentina;3331
Ruby;3308
Sophie;3287
Alice;3268
Gabriella;3197
Sadie;3174
Ariana;3136
Allison;3132
Hailey;3129
Autumn;3106
Nevaeh;3076
Natalia;3059
Quinn;3058
Josephine;3027
Sarah;3025
Cora;3007
Emery;2959
Samantha;2929
Piper;2881
Leilani;2860
Eva;2826
Everleigh;2799
Madeline;2771
Lydia;2767
Jade;2717
Peyton;2703
Brielle;2697
Adeline;2694
Vivian;2680
Rylee;2677
Clara;2664
Raelynn;2585
Melanie;2501
Melody;2498
Julia;2485
Athena;2482
Maria;2460
Liliana;2457
Hadley;2414
Arya;2356
Rose;2356
Reagan;2355
Eliza;2335
Adalynn;2327
Kaylee;2318
Lyla;2293
Mackenzie;2283
Alaia;2254
Isabelle;2226
Charlie;2219
Arianna;2193
Mary;2188
Remi;2185
Margaret;2178
Iris;2159
Parker;2131
Ximena;2018
Eden;2016
Ayla;2006
Kylie;2006
Elliana;2000
Josie;1987
Katherine;1968
Faith;1964
Alexandra;1954
Eloise;1950
Adalyn;1918
Amaya;1916
Jasmine;1915
Amara;1902
Daisy;1877
Reese;1867
Valerie;1867
Brianna;1859
Cecilia;1846
Andrea;1804
Summer;1804
Valeria;1803
Norah;1797
Ariella;1792
Esther;1787
Ashley;1784
Emerson;1774
Aubree;1770
Isabel;1756
Anastasia;1750
Ryleigh;1742
Khloe;1729
Taylor;1729
Londyn;1728
Lucia;1724
Emersyn;1715
Callie;1712
Sienna;1708
Blakely;1698
Kehlani;1694
Genevieve;1685
Alina;1683
Bailey;1653
Juniper;1645
Maeve;1637
Molly;1635
Harmony;1611
Georgia;1594
Magnolia;1592
Catalina;1584
Freya;1581
Juliette;1575
Sloane;1571
June;1568
Sara;1565
Ada;1548
Kimberly;1548
River;1540
Ember;1517
Juliana;1515
Aliyah;1511
Millie;1494
Brynlee;1490
Teagan;1485
Morgan;1483
Jordyn;1481
London;1477
Alaina;1475
Olive;1474
Rosalie;1461
Alyssa;1460
Ariel;1454
Finley;1429
Arabella;1417
Journee;1413
Hope;1407
Leila;1399
Alana;1387
Gemma;1376
Vanessa;1370
Gracie;1368
Noelle;1359
Marley;1356
Elise;1354
Presley;1348
Kamila;1339
Zara;1327
Amy;1326
Kayla;1326
Payton;1322
Blake;1316
Ruth;1315
Alani;1303
Annabelle;1301
Sage;1301
Aspen;1294
Laila;1294
Lila;1290
Rachel;1285
Trinity;1283
Daniela;1275
Alexa;1272
Lilly;1271
Lauren;1269
Elsie;1259
Margot;1257
Adelyn;1255
Zuri;1254
Brooke;1252
Sawyer;1252
Lilah;1249
Lola;1248
Selena;1236
Mya;1234
Sydney;1234
Diana;1222
Ana;1221
Vera;1207
Alayna;1205
Nyla;1202
Elaina;1198
Rebecca;1192
Angela;1182
Kali;1175
Alivia;1171
Raegan;1169
Rowan;1166
Phoebe;1163
Camilla;1162
Joanna;1162
Malia;1162
Vivienne;1159
Dakota;1158
Brooklynn;1156
Evangeline;1156
Camille;1154
Jane;1154
Nicole;1149
Catherine;1144
Jocelyn;1138
Julianna;1136
Lena;1135
Lucille;1130
Mckenna;1130
Paige;1130
Adelaide;1128
Charlee;1128
Mariana;1125
Myla;1125
Mckenzie;1123
Tessa;1123
Miriam;1121
Oakley;1120
Kailani;1118
Alayah;1117
Amira;1116
Adaline;1106
Phoenix;1103
Milani;1093
Annie;1092
Lia;1091
Angelina;1089
Harley;1089
Cali;1081
Maggie;1079
Hayden;1078
Leia;1078
Fiona;1076
Briella;1072
Journey;1068
Lennon;1067
Saylor;1063
Jayla;1061
Kaia;1060
Thea;1060
Adriana;1056
Mariah;1054
Juliet;1031
Oaklynn;1028
Kiara;1025
Alexis;1019
Haven;1018
Aniyah;1015
Delaney;1012
Gracelynn;1011
Kendall;1009
Winter;997
Lilith;995
Logan;992
Amiyah;989
Evie;982
Alexandria;975
Gracelyn;958
Gabriela;957
Sutton;954
Harlow;952
Madilyn;943
Makayla;942
Evelynn;937
Gia;933
Nina;933
Amina;930
Giselle;930
Brynn;926
Blair;922
Amari;921
Octavia;917
Michelle;916
Talia;912
Demi;910
Alaya;905
Kaylani;905
Izabella;904
Fatima;902
Tatum;897
Makenzie;895
Lilliana;890
Arielle;883
Palmer;883
Melissa;881
Willa;881
Samara;874
Destiny;871
Dahlia;867
Celeste;865
Ainsley;863
Rylie;863
Reign;862
Laura;860
Adelynn;857
Gabrielle;857
Remington;850
Wren;850
Brinley;848
Amora;846
Lainey;844
Collins;842
Lexi;840
Aitana;838
Alessandra;837
Kenzie;834
Raelyn;830
Elle;827
Everlee;824
Haisley;821
Hallie;820
Wynter;817
Daleyza;816
Gwendolyn;811
Paislee;807
Ariyah;804
Veronica;802
Heidi;801
Anaya;800
Cataleya;798
Kira;798
Avianna;797
Felicity;796
Aylin;795
Miracle;793
Sabrina;793
Lana;790
Ophelia;790
Elianna;786
Royalty;782
Madeleine;781
Esmeralda;779
Joy;778
Kalani;777
Esme;775
Jessica;775
Leighton;774
Ariah;771
Makenna;771
Nylah;770
Viviana;763
Camryn;762
Cassidy;762
Dream;762
Luciana;762
Maisie;760
Stevie;760
Kate;759
Lyric;756
Daniella;751
Alicia;744
Daphne;744
Frances;736
Charli;735
Raven;735
Paris;733
Nayeli;721
Serena;721
Heaven;720
Bianca;719
Helen;718
Hattie;717
Averie;715
Mabel;712
Selah;710
Allie;706
Marlee;705
Kinley;703
Regina;703
Carmen;700
Jennifer;699
Jordan;697
Alison;696
Stephanie;696
Maren;695
Kayleigh;694
Angel;690
Annalise;690
Jacqueline;690
Braelynn;686
Emory;686
