Naam;Aantal
Aafje (V);131
Aafke (V);744
Aagje (V);272
Aagtje (V);29
Aaliyah (V);257
Aaltje (V);2085
Aaltjen (V);48
Aaltsje (V);37
Aantje (V);44
Aarti (V);80
Aartie (V);33
Aartje (V);604
Aaya (V);27
Abbey (V);30
Abby (V);83
Abbygail (V);29
Abida (V);54
Abigail (V);640
Abigaël (V);62
Abigaïl (V);69
Abir (V);100
Abygail (V);29
Acelya (V);27
Ada (V);115
Adaja (V);27
Adela (V);50
Adelheid (V);31
Adelina (V);58
Adeline (V);65
Adina (V);34
Adinda (V);378
Adisa (V);30
Adna (V);43
Adriaantje (V);244
Adriana (V);5016
Adriane (V);58
Adrianne (V);85
Adrie (V);41
Adrienne (V);94
Adriënne (V);152
Afaf (V);68
Afke (V);257
Afra (V);209
Agata (V);27
Agatha (V);248
Agathe (V);29
Agnes (V);788
Agneta (V);34
Agnetha (V);80
Agnieszka (V);47
Agnita (V);35
Ahalam (V);37
Ahlam (V);356
Ahsen (V);48
Ai (V);28
Aicha (V);456
Aida (V);194
Aike (V);54
Aileen (V);350
Aimee (V);237
Aimy (V);79
Aimée (V);924
Ainhoa (V);29
Aisa (V);44
Aischa (V);27
Aisha (V);463
Aisling (V);28
Aislinn (V);29
Aissa (V);28
Ajla (V);91
Akke (V);199
Akkelien (V);31
Alaa (V);43
Alana (V);252
Alanis (V);36
Alannah (V);33
Alara (V);36
Alba (V);82
Alberdina (V);277
Alberta (V);267
Albertha (V);244
Albertien (V);29
Albertina (V);133
Albertine (V);306
Albertje (V);201
Albina (V);30
Aleid (V);49
Aleida (V);579
Alejandra (V);52
Aleksandra (V);127
Alena (V);68
Alessa (V);47
Alessandra (V);98
Alessia (V);126
Alet (V);31
Aletta (V);343
Alette (V);169
Alev (V);108
Alex (V);102
Alexa (V);71
Alexandra (V);2280
Alexia (V);92
Alexis (V);62
Aleyna (V);766
Ali (V);92
Alia (V);71
Alianne (V);43
Alice (V);946
Alicia (V);1658
Alicja (V);40
Alida (V);1378
Alide (V);38
Alie (V);515
Alieke (V);243
Alien (V);77
Aliene (V);35
Alies (V);162
Alijda (V);53
Alina (V);293
Alinda (V);197
Alinde (V);70
Aline (V);542
Alisa (V);383
Alischa (V);27
Alise (V);56
Alisha (V);622
Alisia (V);58
Alison (V);168
Alissa (V);592
Alissia (V);48
Alix (V);47
Aliya (V);37
Aliyah (V);56
Aliye (V);49
Aliza (V);47
Alize (V);37
Alja (V);31
Allegonda (V);89
Allisha (V);88
Allison (V);133
Allysha (V);27
Allyssa (V);30
Alma (V);278
Almedina (V);28
Almina (V);30
Almira (V);62
Aly (V);61
Alycia (V);117
Alysa (V);67
Alysha (V);429
Alyshia (V);31
Alysia (V);93
Alyssa (V);1219
Alyssia (V);107
Amaal (V);52
Amal (V);1269
Amalia (V);134
Amanda (V);3560
Amani (V);134
Amara (V);68
Amarens (V);121
Amarins (V);221
Amaya (V);55
Amber (V);10778
Ambra (V);31
Amel (V);82
Amela (V);86
Amelia (V);176
Amelie (V);118
Amely (V);32
Amerins (V);37
Amie (V);30
Amila (V);36
Amina (V);1064
Aminata (V);51
Amine (V);97
Amira (V);699
Amisha (V);43
Amke (V);127
Amna (V);71
Amra (V);73
Amrita (V);79
Amy (V);4547
Amé (V);52
Amélie (V);206
An (V);84
Ana (V);618
Anabel (V);30
Anahita (V);40
Anam (V);27
Ananda (V);86
Anandi (V);29
Anastacia (V);53
Anastasia (V);378
Anastasija (V);33
Anaïs (V);158
Ancilla (V);38
Andra (V);43
Andrea (V);1911
Andreia (V);35
Andréa (V);33
Anela (V);46
Anemoon (V);36
Anette (V);40
Angel (V);660
Angela (V);4582
Angelica (V);381
Angelie (V);43
Angeliek (V);33
Angelien (V);43
Angelika (V);55
Angelina (V);773
Angeline (V);185
Angelique (V);2682
Angelle (V);28
Angenita (V);50
Angie (V);234
Angèle (V);59
Angéla (V);80
Angélica (V);127
Angélique (V);245
Ani (V);41
Anica (V);57
Aniek (V);2212
Anieke (V);57
Anika (V);578
Anina (V);32
Anine (V);27
Anique (V);634
Anisa (V);249
Anisha (V);216
Anissa (V);785
Anita (V);2011
Anja (V);1022
Anjali (V);155
Anjana (V);46
Anjani (V);43
Anje (V);197
Anjo (V);32
Anjuli (V);41
Ank (V);45
Anka (V);50
Anke (V);2265
Ankie (V);394
Ankje (V);29
Anky (V);45
Ann (V);90
Anna (V);16963
Anna-Louise (V);27
Anna-Maria (V);97
Anna-Marie (V);32
Anna-Sophie (V);34
Annabel (V);1298
Annabella (V);57
Annabelle (V);481
Annalisa (V);32
Annamaria (V);49
Annamarie (V);46
Anne (V);20461
Anne-Britt (V);37
Anne-Claire (V);130
Anne-Fleur (V);435
Anne-Floor (V);82
Anne-Jet (V);29
Anne-Linde (V);40
Anne-Loes (V);33
Anne-Lotte (V);129
Anne-Louise (V);28
Anne-Lynn (V);43
Anne-Maria (V);43
Anne-Marie (V);346
Anne-Marieke (V);51
Anne-Marije (V);118
Anne-Marijn (V);39
Anne-May (V);29
Anne-Mieke (V);31
Anne-Roos (V);130
Anne-Ruth (V);44
Anne-Sophie (V);256
Anne-Wil (V);123
Annebel (V);251
Annebelle (V);106
Annebeth (V);41
Annechien (V);181
Annefleur (V);285
Annefloor (V);64
Annegien (V);49
Annegreet (V);44
Annejet (V);76
Anneke (V);1612
Anneleen (V);88
Annelein (V);31
Anneli (V);53
Annelie (V);331
Annelieke (V);440
Annelien (V);188
Annelies (V);1332
Annelijn (V);86
Annelin (V);52
Annelinde (V);90
Anneline (V);30
Annelise (V);37
Anneloes (V);861
Annelore (V);81
Annelot (V);376
Annelotte (V);369
Annelou (V);79
Annelous (V);28
Annely (V);50
Annemaria (V);66
Annemarie (V);1967
Annemarieke (V);140
Annemarije (V);117
Annemarijn (V);259
Annemay (V);42
Annemie (V);51
Annemiek (V);1514
Annemieke (V);1502
Annemijn (V);831
Annemoon (V);41
Annerie (V);30
Annerieke (V);132
Anneroos (V);108
Annet (V);620
Annetje (V);175
Annetta (V);27
Annette (V);630
Annewil (V);45
Annick (V);800
Annicka (V);27
Annie (V);605
Annieck (V);30
Anniek (V);1380
Annieke (V);67
Annigje (V);521
Annika (V);1520
Anniko (V);54
Annique (V);182
Annisa (V);30
Annoeska (V);31
Annouk (V);79
Anny (V);35
Anoek (V);532
Anoeshka (V);69
Anoeska (V);217
Anouchka (V);82
Anouck (V);371
Anouk (V);14596
Anouschka (V);533
Anoushka (V);101
Anouska (V);274
Ans (V);75
Anthe (V);37
Anthea (V);36
Anthonia (V);341
Antje (V);1391
Antoinet (V);72
Antoinetta (V);135
Antoinette (V);614
Antonetta (V);154
Antonette (V);33
Antonia (V);1627
Antsje (V);41
Anuradha (V);101
Anuschka (V);88
Anusha (V);41
Anushka (V);64
Anuska (V);49
Anya (V);44
Aoife (V);29
Aouatif (V);40
Apollonia (V);77
Apolonia (V);124
April (V);156
Arabella (V);34
Aradhana (V);36
Aradhna (V);28
Aranka (V);378
Arantxa (V);48
Archana (V);80
Arda (V);34
Ardina (V);38
Areke (V);41
Arenda (V);90
Arendina (V);159
Arendje (V);174
Arentje (V);52
Aria (V);148
Ariaantje (V);60
Ariadne (V);27
Ariana (V);132
Ariane (V);142
Arianna (V);54
Arianne (V);462
Arieke (V);48
Ariena (V);50
Arife (V);72
Arigje (V);29
Arina (V);200
Arinda (V);38
Ariëlle (V);61
Ariënne (V);83
Ariëtte (V);46
Arja (V);51
Arjanne (V);87
Arlene (V);41
Arlette (V);301
Armanda (V);76
Arnela (V);27
Arnolda (V);118
Arnoldina (V);42
Arti (V);30
Artie (V);37
Artje (V);37
Aruna (V);56
Arwa (V);28
Arwen (V);261
Arzu (V);368
Asena (V);104
Asha (V);230
Ashana (V);43
Ashanti (V);108
Ashanty (V);43
Ashley (V);3694
Ashly (V);41
Ashna (V);160
Ashni (V);27
Asia (V);78
Asiya (V);30
Asiye (V);124
Asja (V);41
Asli (V);208
Aslihan (V);114
Aslı (V);72
Aslıhan (V);46
Asma (V);979
Asmaa (V);224
Asmae (V);582
Asmara (V);87
Assia (V);370
Aster (V);99
Astrid (V);2462
Asude (V);43
Asuman (V);30
Asya (V);108
Athina (V);34
Atie (V);27
Atika (V);49
Atje (V);31
Audrey (V);651
Audry (V);27
Augusta (V);52
Augustina (V);40
Auke (V);110
Aukje (V);917
Aura (V);44
Aurelia (V);106
Aurora (V);230
Aurélie (V);65
Ava (V);120
Avalon (V);138
Aviva (V);34
Awa (V);37
Axelle (V);34
Aya (V);807
Ayaan (V);90
Ayah (V);36
Ayan (V);106
Ayana (V);41
Aybike (V);28
Aycan (V);42
Ayda (V);48
Aydan (V);47
Ayesha (V);105
Ayfer (V);35
Aygül (V);34
Ayla (V);847
Ayleen (V);56
Aylin (V);596
Aynur (V);162
Ayse (V);492
Aysegul (V);37
Aysegül (V);63
Aysel (V);160
Aysenur (V);29
Aysha (V);69
Aysu (V);52
Aysun (V);163
Ayten (V);79
Ayça (V);96
Ayşe (V);1184
Ayşegül (V);251
Ayşen (V);28
Ayşenur (V);149
Aziza (V);271
Azize (V);59
Azra (V);405
Açelya (V);118
Aïcha (V);304
Aïda (V);65
Aïsha (V);279
Babet (V);369
Babeth (V);53
Babette (V);1451
Babiche (V);46
Babs (V);411
Badia (V);50
Badria (V);39
Bahar (V);446
Balou (V);33
Banu (V);86
Barbara (V);1880
Barbera (V);136
Barendina (V);95
Bartha (V);30
Bartje (V);31
Basma (V);158
Bastiaantje (V);104
Bastiana (V);109
Bauke (V);73
Baukje (V);558
Başak (V);55
Bea (V);119
Beate (V);53
Beatrice (V);99
Beatrijs (V);95
Beatrix (V);98
Beatriz (V);38
Beau (V);1399
Beaudine (V);196
Bedia (V);34
Beertje (V);50
Begüm (V);68
Beitske (V);50
Belgin (V);45
Belia (V);49
Belinda (V);362
Bella (V);99
Belle (V);215
Belma (V);44
Benedicte (V);34
Benice (V);44
Benita (V);39
Bente (V);3219
Benthe (V);1018
Berbel (V);45
Berber (V);614
Berdien (V);200
Berdina (V);96
Berdine (V);58
Berendina (V);574
Berendje (V);70
Berfin (V);175
Berit (V);118
Berivan (V);125
Berna (V);255
Bernadet (V);104
Bernadette (V);525
Bernadina (V);32
Bernadine (V);34
Bernarda (V);56
Bernardina (V);89
Bernice (V);370
Bernou (V);48
Berra (V);36
Bertha (V);258
Berthe (V);60
Bertina (V);107
Bertine (V);205
Beryl (V);41
Bethany (V);36
Betsy (V);29
Bette (V);61
Bettie (V);44
Bettina (V);98
Bettine (V);71
Betty (V);113
Betul (V);81
Betül (V);656
Beverly (V);52
Beyoncé (V);32
Beyza (V);626
Beyzanur (V);74
Bianca (V);4655
Bibi (V);1008
Bibian (V);118
Bibiana (V);38
Bibiane (V);52
Bibianne (V);60
Bibiche (V);76
Bieke (V);106
Bijou (V);40
Bilge (V);61
Billie (V);49
Billy (V);31
Bionda (V);95
Bircan (V);34
Birgit (V);912
Birgitta (V);96
Birgitte (V);63
Birgül (V);50
Birsen (V);50
Birte (V);84
Birthe (V);79
Blanca (V);86
Blanche (V);55
Blessing (V);40
Bloem (V);121
Bloeme (V);63
Bo (V);3690
Bobbi (V);111
Bobbie (V);191
Bobby (V);125
Bodien (V);38
Bodil (V);190
Bodine (V);331
Bojana (V);37
Bojoura (V);54
Bonita (V);287
Bonne (V);27
Bonnie (V);438
Bonny (V);185
Bouchra (V);674
Bouke (V);48
Boukje (V);320
Boutaina (V);102
Bouwina (V);35
Bowien (V);134
Brandy (V);92
Brechje (V);263
Brecht (V);226
Brechtje (V);371
Bregje (V);844
Bregtje (V);78
Brenda (V);2626
Brenna (V);29
Brett (V);28
Brianna (V);43
Brianne (V);40
Bridget (V);390
Brigit (V);189
Brigitta (V);231
Brigitte (V);1097
Brit (V);107
Britney (V);558
Britt (V);8213
Britta (V);317
Brittany (V);209
Britte (V);326
Brittney (V);102
Brooklyn (V);28
Bruna (V);31
Btissam (V);49
Btissame (V);116
Buket (V);149
Burcu (V);395
Burçin (V);128
Buse (V);215
Bushra (V);41
Busra (V);93
Buşra (V);186
Büsra (V);78
Büşra (V);608
Cacharel (V);27
Caecilia (V);65
Caia (V);28
Cailey (V);27
Caithlin (V);81
Caithlyn (V);71
Caitlin (V);1195
Caitlyn (V);181
Caitlynn (V);45
Caja (V);42
Calista (V);39
Callista (V);32
Cameron (V);33
Camila (V);93
Camilla (V);288
Camille (V);315
Canan (V);275
Candice (V);86
Candy (V);117
Cansel (V);57
Cansu (V);460
Cara (V);58
Caren (V);45
Caressa (V);161
Carianne (V);40
Carice (V);37
Carien (V);142
Carin (V);126
Carina (V);551
Carine (V);211
Carissa (V);34
Carla (V);630
Carleen (V);52
Carli (V);93
Carlien (V);156
Carlijn (V);2682
Carlijne (V);108
Carlin (V);27
Carlina (V);34
Carline (V);136
Carlotta (V);33
Carly (V);266
Carlyn (V);56
Carmel (V);82
Carmela (V);27
