Naam;Aantal;;
Aaliyah;41;;
Abby;38;;
Abigail;39;;
Ada;33;;
Adriana;59;;
Aimy;29;;
Aimée;91;;
Aisha;28;;
Alba;28;;
Alexandra;31;;
Alice;52;;
Alicia;42;;
Alina;98;;
Alisa;29;;
Aliyah;46;;
Alya;46;;
Alyssa;48;;
Amalia;38;;
Amanah;26;;
Amani;32;;
Amara;34;;
Amaya;30;;
Amber;199;;
Amelia;83;;
Amelie;34;;
Amina;62;;
Amira;157;;
Amy;221;;
Amélie;92;;
Angelina;34;;
Anna;481;;
Anne;165;;
Anouk;83;;
Ariana;36;;
Arya;44;;
Asel;29;;
Asiya;43;;
Assiya;31;;
Asya;32;;
Aurora;51;;
Ava;72;;
Aya;124;;
Ayana;31;;
Ayla;104;;
Aylin;41;;
Azra;61;;
Beau;48;;
Bella;59;;
Bente;109;;
Benthe;156;;
Bibi;78;;
Billie;34;;
Bo;252;;
Bobbi;117;;
Bobbie;47;;
Bobby;28;;
Bowie;82;;
Britt;49;;
Carlijn;33;;
Carmen;38;;
Cataleya;52;;
Catharina;41;;
Cato;222;;
Celine;36;;
Charlie;180;;
Charlotte;201;;
Chiara;27;;
Chloe;46;;
Chloé;142;;
Chloë;140;;
Christina;33;;
Claire;58;;
Coco;58;;
Cornelia;66;;
Céline;33;;
Daantje;42;;
Daisy;31;;
Dana;41;;
Dani;41;;
Danique;37;;
Daphne;55;;
Davina;50;;
Defne;39;;
Demi;123;;
Dewi;36;;
Diana;31;;
Diede;40;;
Dina;49;;
Djenna;30;;
Donna;59;;
Doris;53;;
Dua;25;;
Eef;45;;
Ela;73;;
Eleanor;41;;
Elena;259;;
Eliana;39;;
Elif;116;;
Elin;374;;
Elina;47;;
Eline;153;;
Elisa;120;;
Elisabeth;83;;
Elise;195;;
Eliza;61;;
Elizabeth;58;;
Elize;45;;
Ella;307;;
Ellie;29;;
Elodie;34;;
Eloïse;31;;
Elynn;37;;
Emilia;109;;
Emilie;35;;
Emily;314;;
Emma;685;;
Emmelie;25;;
Emmy;36;;
Esila;26;;
Esma;39;;
Esmay;26;;
Esmee;226;;
Esmé;25;;
Esmée;75;;
Esra;33;;
Esther;49;;
Eva;510;;
Evelien;31;;
Eveline;30;;
Evelyn;26;;
Evi;483;;
Evie;74;;
Evy;106;;
Farah;33;;
Fatima;45;;
Fay;144;;
Faya;31;;
Faye;94;;
Febe;59;;
Felien;32;;
Feline;196;;
Fem;111;;
Femke;145;;
Femm;36;;
Fenna;310;;
Fenne;166;;
Fieke;37;;
Fien;369;;
Fiene;147;;
Fiep;48;;
Filou;67;;
Fleur;383;;
Floor;213;;
Floortje;29;;
Flora;26;;
Flore;55;;
Florine;44;;
Freya;48;;
Féline;100;;
Gaia;34;;
Gigi;31;;
Gioia;25;;
Giulia;51;;
Guusje;109;;
Gwen;48;;
Hafsa;56;;
Hailey;297;;
Hanna;210;;
Hannah;282;;
Hanne;64;;
Hayley;50;;
Helena;71;;
Hendrika;37;;
Hidaya;55;;
Hira;27;;
Ida;26;;
Ilse;44;;
Imane;26;;
Imke;39;;
Inara;29;;
Inaya;118;;
Indy;93;;
Iris;156;;
Isa;304;;
Isabeau;35;;
Isabel;173;;
Isabella;201;;
Isabelle;79;;
Ise;45;;
Isra;107;;
Israe;25;;
Ivy;202;;
Iza;28;;
Ize;44;;
Izzy;42;;
Jackie;132;;
Jacky;44;;
Jacoba;35;;
Jada;34;;
Jade;142;;
Jailey;51;;
Jana;43;;
Jane;53;;
Janna;79;;
Janne;80;;
Jannetje;25;;
Jara;50;;
Jasmijn;232;;
Jasmine;42;;
Jayda;35;;
Jayla;25;;
Jaylinn;74;;
Jazz;36;;
Jazzlyn;40;;
Jazzlynn;36;;
Jenna;46;;
Jennah;26;;
Jente;55;;
Jenthe;25;;
Jess;46;;
Jessie;66;;
Jesslyn;29;;
Jesslynn;26;;
Jet;111;;
Jette;42;;
Jill;158;;
Jinte;94;;
Jinthe;90;;
Jip;54;;
Johanna;129;;
Jolie;137;;
Jolien;54;;
Jolijn;43;;
Josefien;35;;
Josephine;75;;
Joy;81;;
Joya;25;;
Joëlle;56;;
Judith;26;;
Jula;97;;
Jule;37;;
Julia;665;;
Julie;279;;
Juliette;71;;
Juliëtte;64;;
Juna;126;;
June;133;;
Juul;214;;
Kaat;48;;
Kae;36;;
Karlijn;28;;
Kate;144;;
Kato;37;;
Kaylee;25;;
Keet;34;;
Kensi;55;;
Kenza;29;;
Kes;28;;
Khadija;27;;
Kiara;43;;
Kiki;162;;
Kira;30;;
Kyara;27;;
Kyra;44;;
Lana;118;;
Lara;235;;
Laura;135;;
Laure;34;;
Lauren;463;;
Laurie;36;;
Layla;49;;
Lea;71;;
Leah;79;;
Leia;25;;
Lena;232;;
Lenne;34;;
Lente;30;;
Lexi;69;;
Lexie;52;;
Leyla;54;;
Lia;25;;
Lieke;405;;
Liene;35;;
Lieve;77;;
Liliana;48;;
Lilly;107;;
Lilou;28;;
Lily;143;;
Lina;335;;
Linde;186;;
Linn;58;;
Linne;26;;
Lisa;218;;
Lisanne;43;;
Lise;106;;
Liselotte;29;;
Liv;508;;
Liva;173;;
Livia;184;;
Liya;65;;
Liyana;100;;
Liz;215;;
Liza;53;;
Lize;187;;
Lizz;61;;
Lizzy;188;;
Loa;82;;
Loes;57;;
Lois;60;;
Lola;147;;
Lorena;30;;
Lorèn;38;;
Lot;132;;
Lott;54;;
Lotte;497;;
Lotus;25;;
Lou;110;;
Loua;147;;
Louise;130;;
Loïs;322;;
Lua;29;;
Lucie;47;;
Lucy;78;;
Luna;291;;
Lune;59;;
Luus;43;;
Lux;35;;
Lynn;381;;
Maaike;29;;
Maan;44;;
Maartje;51;;
Macy;41;;
Madelief;64;;
Mae;112;;
Maeve;164;;
Maja;74;;
Mara;128;;
Mare;109;;
Maren;35;;
Maria;235;;
Mariam;27;;
Marie;80;;
Marin;25;;
Marit;112;;
Marley;71;;
Marly;90;;
Marrit;25;;
Maryam;103;;
Maud;357;;
Maxime;52;;
Maya;136;;
Mayra;50;;
Maysa;54;;
Medina;42;;
Megan;41;;
Meghan;27;;
Meike;43;;
Melina;29;;
Melissa;26;;
Melody;40;;
Merel;176;;
Merle;63;;
Meryem;55;;
Mette;65;;
Meyra;38;;
Mia;325;;
Michelle;26;;
Mikki;39;;
Mila;665;;
Milena;49;;
Miley;37;;
Millie;32;;
Milly;32;;
Milou;479;;
Mina;48;;
Mira;120;;
Mirte;33;;
Mirthe;115;;
Myla;33;;
Myrthe;67;;
Nadia;44;;
Nadine;30;;
Nala;27;;
Naomi;184;;
Naya;26;;
Neeltje;33;;
Nela;28;;
Nena;42;;
Neva;35;;
Niene;86;;
Nienke;53;;
Nika;36;;
Nikki;110;;
Nikkie;41;;
Nila;38;;
Nina;435;;
Nine;99;;
Ninthe;43;;
Nisa;55;;
Niya;32;;
Noa;272;;
Nola;145;;
Nomi;30;;
Noor;482;;
Noortje;67;;
Nora;561;;
Norah;210;;
Nore;94;;
Nour;64;;
Nova;367;;
Novi;92;;
Nové;25;;
Novée;34;;
Noé;208;;
Noëlla;56;;
Noëlle;128;;
Nynke;34;;
Olivia;477;;
Oliwia;33;;
Oumayra;33;;
Phileine;53;;
Philippa;28;;
Philou;115;;
Pien;68;;
Pip;106;;
Pippa;76;;
Pleun;83;;
Pola;30;;
Puck;194;;
Puk;42;;
Quinn;41;;
Rachel;32;;
Renske;30;;
Rhodé;52;;
Riley;79;;
Robin;116;;
Romee;78;;
Romy;156;;
Romée;154;;
Roos;313;;
Rosa;209;;
Rosalie;140;;
Rose;32;;
Rosie;183;;
Roxy;25;;
Ruby;96;;
Saar;474;;
Safae;33;;
Safiya;41;;
Salomé;29;;
Sam;100;;
Sammie;42;;
Sanne;150;;
Sara;571;;
Sarah;360;;
Sare;32;;
Scottie;41;;
Selina;36;;
Selma;25;;
Sena;72;;
Senna;99;;
Sienna;26;;
Sifra;31;;
Silke;73;;
Skye;44;;
Sofia;315;;
Sofie;376;;
Soof;88;;
Sophia;256;;
Sophie;647;;
Stella;75;;
Sterre;94;;
Suus;124;;
Suze;236;;
Tara;39;;
Tasnim;25;;
Teddy;55;;
Tess;660;;
Tessa;148;;
Thirza;50;;
Tirza;39;;
Vajèn;85;;
Valentina;54;;
Valerie;77;;
Vanessa;33;;
Vayèn;36;;
Veerle;189;;
Vera;219;;
Vere;26;;
Vesper;74;;
Victoria;97;;
Vieve;76;;
Vive;40;;
Vivian;27;;
Viënna;25;;
Wies;40;;
Wilhelmina;31;;
Yara;531;;
Yarah;33;;
Yasmin;81;;
Yasmina;27;;
Yasmine;53;;
Yenthe;48;;
Yfke;79;;
Yinthe;55;;
Yuna;104;;
Zahra;30;;
Zara;112;;
Zaya;26;;
Zehra;28;;
Zeynep;81;;
Ziva;49;;
Zoey;98;;
Zofia;35;;
Zora;25;;
Zoë;621;;
Zuzanna;52;;
Zümra;27;;
